INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 146	Loss: 1.8834052085876465	Top1 accuracy: 67.578125
DEBUG:root:Epoch: 147	Loss: 1.9407153129577637	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 148	Loss: 1.8967710733413696	Top1 accuracy: 70.1171875
DEBUG:root:Epoch: 149	Loss: 1.7069967985153198	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 150	Loss: 1.688596487045288	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 151	Loss: 1.75306236743927	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 152	Loss: 1.5805975198745728	Top1 accuracy: 68.1640625
DEBUG:root:Epoch: 153	Loss: 1.7319905757904053	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 154	Loss: 1.8521255254745483	Top1 accuracy: 68.75
DEBUG:root:Epoch: 155	Loss: 1.6448028087615967	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 156	Loss: 1.7707850933074951	Top1 accuracy: 66.40625
DEBUG:root:Epoch: 157	Loss: 1.7829785346984863	Top1 accuracy: 62.5
DEBUG:root:Epoch: 158	Loss: 1.707089900970459	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 159	Loss: 1.8499919176101685	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 160	Loss: 1.5556732416152954	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 161	Loss: 1.771790623664856	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 162	Loss: 1.6163177490234375	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 163	Loss: 1.7208616733551025	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 164	Loss: 1.7664763927459717	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 165	Loss: 1.9142643213272095	Top1 accuracy: 71.6796875
DEBUG:root:Epoch: 166	Loss: 1.5611501932144165	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 167	Loss: 1.8163307905197144	Top1 accuracy: 68.9453125
DEBUG:root:Epoch: 168	Loss: 1.8251534700393677	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 169	Loss: 1.608041524887085	Top1 accuracy: 67.578125
DEBUG:root:Epoch: 170	Loss: 1.7031959295272827	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 171	Loss: 1.8326891660690308	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 172	Loss: 1.6654107570648193	Top1 accuracy: 69.140625
DEBUG:root:Epoch: 173	Loss: 1.5366559028625488	Top1 accuracy: 65.625
DEBUG:root:Epoch: 174	Loss: 1.8668829202651978	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 175	Loss: 1.5804650783538818	Top1 accuracy: 70.703125
DEBUG:root:Epoch: 176	Loss: 1.772685170173645	Top1 accuracy: 69.3359375
DEBUG:root:Epoch: 177	Loss: 1.7662180662155151	Top1 accuracy: 71.875
DEBUG:root:Epoch: 178	Loss: 1.6388102769851685	Top1 accuracy: 70.3125
DEBUG:root:Epoch: 179	Loss: 1.832321047782898	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 180	Loss: 1.5355591773986816	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 181	Loss: 1.5024020671844482	Top1 accuracy: 68.75
DEBUG:root:Epoch: 182	Loss: 1.8123782873153687	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 183	Loss: 1.7138559818267822	Top1 accuracy: 70.1171875
DEBUG:root:Epoch: 184	Loss: 1.770063042640686	Top1 accuracy: 71.09375
DEBUG:root:Epoch: 185	Loss: 1.5208665132522583	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 186	Loss: 1.4554646015167236	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 187	Loss: 1.6744015216827393	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 188	Loss: 1.7516984939575195	Top1 accuracy: 67.578125
DEBUG:root:Epoch: 189	Loss: 1.9101746082305908	Top1 accuracy: 73.4375
DEBUG:root:Epoch: 190	Loss: 1.6741325855255127	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 191	Loss: 1.580864667892456	Top1 accuracy: 67.3828125
DEBUG:root:Epoch: 192	Loss: 1.688742756843567	Top1 accuracy: 68.1640625
DEBUG:root:Epoch: 193	Loss: 1.6365517377853394	Top1 accuracy: 61.5234375
DEBUG:root:Epoch: 194	Loss: 1.5860611200332642	Top1 accuracy: 69.53125
DEBUG:root:Epoch: 195	Loss: 1.771999478340149	Top1 accuracy: 71.484375
DEBUG:root:Epoch: 196	Loss: 1.491265892982483	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 197	Loss: 1.6073558330535889	Top1 accuracy: 69.7265625
DEBUG:root:Epoch: 198	Loss: 1.8168662786483765	Top1 accuracy: 70.1171875
DEBUG:root:Epoch: 199	Loss: 1.7298719882965088	Top1 accuracy: 70.8984375
INFO:root:Training has finished.
INFO:root:Model checkpoint and metadata has been saved at runs/Mar25_10-54-39_node3.
